fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev
margin,top30,13,20,7,9.690430,67.00,4.552940,30.664306,1357.841108,573.264944
margin,top30,13,20,8,8.531646,68.61,4.565051,30.344211,1364.101635,569.244971
margin,top30,13,20,9,7.913951,70.28,4.594270,30.168847,1369.766497,567.020013
margin,top30,13,20,10,6.931133,70.88,4.571449,30.149077,1377.499653,569.112810
margin,top30,13,20,11,5.882937,74.03,4.556755,30.040495,1383.994161,566.112109
margin,top30,13,20,12,5.120577,75.77,4.535376,30.158880,1390.124489,569.151040
margin,top30,13,20,13,4.703066,77.04,4.594121,30.099885,1396.731326,566.819586
margin,top30,13,20,14,3.902313,77.92,4.537172,30.195203,1403.342799,566.021655
margin,top30,13,20,15,3.340890,77.51,4.626236,30.146035,1407.258379,565.486397
margin,top30,13,20,16,2.778651,78.08,4.612719,29.931102,1411.507519,564.400289
margin,top30,13,20,17,2.295879,78.07,4.595237,29.648166,1416.894223,562.188777
margin,top30,13,20,18,1.774005,78.20,4.619198,29.658419,1420.761589,562.343656
margin,top30,13,20,19,1.606173,78.26,4.609361,29.770187,1421.175272,562.896052
margin,top30,13,20,20,1.440661,78.11,4.627713,29.867005,1424.606617,562.052822
margin,top30,13,20,21,1.435684,78.44,4.611023,29.662652,1427.060658,561.607570
margin,top30,13,20,22,1.353259,78.40,4.600517,29.764144,1427.155153,561.622780
margin,top30,13,20,23,1.317316,78.38,4.588986,29.701893,1428.346857,561.282844
margin,top30,13,20,24,1.300609,78.77,4.579905,29.734627,1427.450801,562.054647
margin,top30,13,20,25,1.293577,78.60,4.561879,29.832569,1428.540848,561.012867
margin,top30,13,20,26,1.253324,78.21,4.567342,29.765242,1428.769336,560.834010
margin,top30,13,20,27,1.216180,78.13,4.580442,29.763602,1427.994132,561.410190
margin,top30,13,20,28,1.168621,78.16,4.608999,29.716930,1427.508139,560.262824
margin,top30,13,20,29,1.152287,78.26,4.572718,29.704961,1427.630213,560.225027
margin,top30,13,20,30,1.143486,78.47,4.577071,29.675866,1428.334135,559.018010
margin,top30,13,20,31,1.148631,78.14,4.566777,29.602290,1428.628732,559.484324
margin,top30,13,20,32,1.146779,78.35,4.578118,29.588873,1427.884358,559.758452
margin,top30,13,20,33,1.151715,78.32,4.589903,29.609557,1427.685060,559.358536
margin,top30,13,20,34,1.144712,78.25,4.583104,29.641165,1428.067240,559.354895
margin,top30,13,20,35,1.149395,78.33,4.601361,29.602578,1428.436177,559.518485
margin,top30,13,20,36,1.143997,78.29,4.604946,29.623416,1427.371680,559.465568
margin,top30,13,20,37,1.138579,78.33,4.605977,29.604960,1427.877321,559.519525
margin,top30,13,20,38,1.140228,78.38,4.613240,29.569941,1426.743212,559.344584
margin,top30,13,20,39,1.131621,78.36,4.594207,29.565948,1427.459917,558.458658
margin,top30,13,20,40,1.124196,78.28,4.586753,29.612484,1427.298442,558.972437
margin,top30,13,20,41,1.117977,78.19,4.588258,29.509668,1426.832623,558.450477
margin,top30,13,20,42,1.111230,78.23,4.580974,29.588179,1426.429664,558.797619
margin,top30,13,20,43,1.101275,78.21,4.595964,29.491033,1426.262234,559.405353
margin,top30,13,20,44,1.087735,78.23,4.586639,29.433901,1426.111008,559.527402
margin,top30,13,20,45,1.064253,78.35,4.583671,29.365007,1425.405687,558.923639
margin,top30,13,20,46,1.055504,78.30,4.587898,29.427534,1425.188234,559.065549
