fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,fitness,accuracy,mse
margin,top90,4,20,17,0.297213,68.03,17.800795
margin,top90,4,20,18,0.228955,68.39,18.578385
margin,top90,4,20,19,0.235560,68.46,18.636920
margin,top90,4,20,20,0.180106,68.48,18.354432
margin,top90,4,20,21,0.152500,68.10,18.427629
margin,top90,4,20,22,0.134283,68.64,18.552818
margin,top90,6,30,1,11.315841,50.11,22.287784
margin,top90,6,30,2,9.754577,50.60,20.359345
margin,top90,6,30,3,9.264333,50.99,20.780319
margin,top90,6,30,4,8.758750,51.12,21.262496
margin,top90,6,30,5,7.806493,54.02,21.012448
margin,top90,6,30,6,7.101148,55.64,20.114299
margin,top90,6,30,7,7.015488,55.18,20.321218
margin,top90,6,30,8,5.953931,56.90,20.523320
margin,top90,6,30,9,4.807938,59.07,20.104766
margin,top90,6,30,10,4.316195,59.90,19.672698
margin,top90,6,30,11,2.915169,63.67,19.147964
margin,top90,6,30,12,2.482564,64.83,19.458835
margin,top90,6,30,13,2.091293,66.07,19.357724
margin,top90,6,30,14,1.644635,67.17,19.092190
margin,top90,6,30,15,1.094632,67.51,19.434955
margin,top90,6,30,16,0.810478,68.62,19.123378
margin,top90,6,30,17,0.628067,68.20,19.206932
margin,top90,6,30,18,0.471956,67.81,19.069500
margin,top90,6,30,19,0.396104,69.86,18.774762
margin,top90,6,30,20,0.236730,68.97,18.758829
margin,top90,6,30,21,0.227044,69.32,18.978962
margin,top90,6,30,22,0.198006,69.57,18.900095
margin,top90,6,30,23,0.215470,69.65,18.762719
margin,top90,6,30,24,0.201097,69.54,18.781804
margin,top90,6,30,25,0.203579,69.56,18.829001
margin,top90,6,30,26,0.186272,69.56,18.939294
margin,top90,8,40,1,14.724349,50.72,23.238028
margin,top90,8,40,2,13.581897,50.88,21.879568
margin,top90,8,40,3,12.547788,52.37,21.842059
margin,top90,8,40,4,12.295164,52.82,22.068943
margin,top90,8,40,5,12.394024,52.25,21.993002
margin,top90,8,40,6,10.989324,54.81,21.662945
margin,top90,8,40,7,10.347513,54.21,21.232107
margin,top90,8,40,8,9.190682,56.18,20.916947
margin,top90,8,40,9,8.334509,58.20,20.644608
