mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev
both,non_symmetric,1.0,1.0,regret,top50,2,10,2,1.628331,50.98,1.632136,19.267162,8.983456,37.265276
both,non_symmetric,1.0,1.0,regret,top50,2,10,3,1.402749,52.24,1.710392,19.907370,7.135440,37.982492
both,non_symmetric,1.0,1.0,regret,top50,2,10,4,1.198272,54.21,1.762692,20.688313,5.718759,38.466859
both,non_symmetric,1.0,1.0,regret,top50,2,10,5,1.143645,54.93,1.773758,20.888735,5.462106,38.567341
both,non_symmetric,1.0,1.0,regret,top50,2,10,6,1.110699,55.83,1.800887,20.977645,5.271115,38.609552
both,non_symmetric,1.0,1.0,regret,top50,4,20,1,5.101382,50.01,1.507400,18.993726,11.568111,37.116684
both,non_symmetric,1.0,1.0,regret,top50,4,20,2,3.759636,51.72,1.619052,19.074368,8.987687,37.187612
both,non_symmetric,1.0,1.0,regret,top50,4,20,3,3.290605,53.02,1.724294,19.920051,6.746822,37.781135
both,non_symmetric,1.0,1.0,regret,top50,4,20,4,2.620820,55.44,1.772715,20.854472,4.928733,38.653560
both,non_symmetric,1.0,1.0,regret,top50,4,20,5,2.351978,58.65,1.847945,21.207568,3.607169,39.184632
both,non_symmetric,1.0,1.0,regret,top50,4,20,6,1.917565,64.15,1.901623,21.370912,2.582999,39.591664
both,non_symmetric,1.0,1.0,regret,top50,4,20,7,1.720903,68.12,1.916674,21.773916,2.098651,39.916179
both,non_symmetric,1.0,1.0,regret,top50,8,40,1,10.146057,50.01,1.507400,18.993726,11.568111,37.116684
both,non_symmetric,1.0,1.0,regret,top50,8,40,2,8.063357,52.77,1.632947,19.196479,8.963727,37.149389
both,non_symmetric,1.0,1.0,regret,top50,8,40,3,7.878530,54.22,1.732348,19.994947,6.736089,37.985489
both,non_symmetric,1.0,1.0,regret,top50,8,40,4,7.250927,56.48,1.785673,20.604447,4.959183,38.250213
both,non_symmetric,1.0,1.0,regret,top50,8,40,5,6.446230,60.36,1.845802,20.937066,3.571550,38.609841
both,non_symmetric,1.0,1.0,regret,top50,8,40,6,5.637995,66.34,1.886304,21.296491,2.612422,38.736334
both,non_symmetric,1.0,1.0,regret,top50,8,40,7,4.758869,72.72,1.925061,21.521081,1.867954,38.790951
both,non_symmetric,1.0,1.0,regret,top50,8,40,8,3.624184,79.65,1.931439,21.888944,1.322786,38.700090
both,non_symmetric,1.0,1.0,regret,top50,8,40,9,2.974337,84.48,1.938495,22.012034,1.012870,38.765113
both,non_symmetric,1.0,1.0,entropy,top50,1,5,1,1.610218,50.01,1.507400,18.993726,11.568111,37.116684
both,non_symmetric,1.0,1.0,entropy,top50,1,5,2,0.905783,51.62,1.632209,19.252420,9.066012,37.267341
both,non_symmetric,1.0,1.0,entropy,top50,1,5,3,0.913661,52.35,1.712363,20.495463,6.835040,38.207640
both,non_symmetric,1.0,1.0,entropy,top50,1,5,4,0.870561,53.61,1.806455,21.229284,4.986123,39.337830
both,non_symmetric,1.0,1.0,entropy,top50,1,5,5,0.790285,55.73,1.873756,21.911186,3.664427,40.163395
both,non_symmetric,1.0,1.0,entropy,top50,1,5,6,0.735904,56.40,1.874595,21.937145,3.456965,40.282831
both,non_symmetric,1.0,1.0,entropy,top50,2,10,1,3.162469,50.01,1.507400,18.993726,11.568111,37.116684
both,non_symmetric,1.0,1.0,entropy,top50,2,10,2,2.192727,51.68,1.631607,19.166537,8.977565,37.059304
both,non_symmetric,1.0,1.0,entropy,top50,2,10,3,2.109263,53.00,1.726403,20.318427,6.768461,38.114537
both,non_symmetric,1.0,1.0,entropy,top50,2,10,4,2.017653,54.37,1.801330,20.850914,4.968803,39.116225
both,non_symmetric,1.0,1.0,entropy,top50,2,10,5,1.898553,55.96,1.838327,21.641534,3.626402,39.755874
both,non_symmetric,1.0,1.0,entropy,top50,2,10,6,1.583970,59.89,1.903199,21.793447,2.628020,40.520779
both,non_symmetric,1.0,1.0,entropy,top50,2,10,7,1.540463,63.57,1.924631,21.984059,2.005396,40.881402
both,non_symmetric,1.0,1.0,entropy,top50,2,10,8,1.433966,68.18,1.918857,22.493079,1.575070,41.259311
both,non_symmetric,1.0,1.0,entropy,top50,2,10,9,1.370601,72.23,1.946450,22.558421,1.287280,41.583526
both,non_symmetric,1.0,1.0,entropy,top50,2,10,10,1.299406,75.81,1.956278,22.712556,1.062401,41.833893
both,non_symmetric,1.0,1.0,entropy,top50,2,10,11,1.272870,79.07,1.996143,22.807541,0.916001,41.975774
both,non_symmetric,1.0,1.0,entropy,top50,2,10,12,1.202051,81.11,2.007135,22.907393,0.803512,42.150216
both,non_symmetric,1.0,1.0,entropy,top50,2,10,13,1.180174,82.53,2.010973,22.850488,0.742636,42.173139
both,non_symmetric,1.0,1.0,entropy,top50,2,10,14,1.185847,82.90,2.017075,22.900461,0.727294,42.171088
both,non_symmetric,1.0,1.0,entropy,top50,4,20,1,6.272343,50.01,1.507400,18.993726,11.568111,37.116684
both,non_symmetric,1.0,1.0,entropy,top50,4,20,2,5.041591,51.64,1.643442,19.078637,8.937830,37.245516
both,non_symmetric,1.0,1.0,entropy,top50,4,20,3,4.749664,53.40,1.733745,20.333169,6.743877,38.187847
both,non_symmetric,1.0,1.0,entropy,top50,4,20,4,4.534518,55.29,1.796188,20.909381,4.938172,39.160379
both,non_symmetric,1.0,1.0,entropy,top50,4,20,5,4.420567,58.10,1.826536,21.476249,3.617455,39.847903
both,non_symmetric,1.0,1.0,entropy,top50,4,20,6,4.011572,62.35,1.883465,22.063095,2.588260,40.306499
both,non_symmetric,1.0,1.0,entropy,top50,4,20,7,3.998230,67.57,1.926558,22.581746,1.887374,40.705982
both,non_symmetric,1.0,1.0,entropy,top50,4,20,8,3.641144,72.80,1.937245,22.612515,1.367888,41.022558
both,non_symmetric,1.0,1.0,entropy,top50,4,20,9,3.100817,78.01,1.965822,22.803872,1.007666,41.304113
both,non_symmetric,1.0,1.0,entropy,top50,4,20,10,2.961100,82.84,1.981889,22.875258,0.684741,41.568434
both,non_symmetric,1.0,1.0,entropy,top50,4,20,11,2.910334,85.42,1.983102,22.877135,0.511566,41.797097
both,non_symmetric,1.0,1.0,entropy,top50,4,20,12,2.717504,88.12,2.006177,23.107923,0.360150,41.871612
both,non_symmetric,1.0,1.0,entropy,top50,4,20,13,2.622426,89.63,2.022086,23.072870,0.255075,42.085318
both,non_symmetric,1.0,1.0,entropy,top50,4,20,14,2.522571,90.78,2.046447,23.470186,0.184647,42.215799
both,non_symmetric,1.0,1.0,entropy,top50,4,20,15,2.513802,92.55,2.049946,23.565824,0.133430,42.146992
both,non_symmetric,1.0,1.0,entropy,top50,4,20,16,2.653097,93.14,2.032634,23.383164,0.113458,42.227799
both,non_symmetric,1.0,1.0,entropy,top50,4,20,17,2.654924,93.28,2.030086,23.300799,0.108888,42.243346
both,non_symmetric,1.0,1.0,entropy,top50,8,40,1,12.495439,50.01,1.507400,18.993726,11.568111,37.116684
